"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2018/04/16","16","39.4","43.5","45.6","38.9","84.0","47.5","46.6","47.2","NA","NA","0.17","8.22","0.05","0.06"
"2018/04/17","17","33.4","43.5","55.5","33.2","70.2","46.9","45.2","46.4","NA","NA","0.02","12.74","0.09","0.12"
"2018/04/18","18","28.1","41.3","55.2","29.6","68.0","46.8","43.7","45.8","NA","NA","0.00","19.02","0.10","0.12"
"2018/04/19","19","31.4","47.3","65.4","31.2","60.0","48.9","44.3","46.7","NA","NA","0.00","24.50","0.15","0.20"
"2018/04/20","20","30.6","48.7","66.0","33.8","61.9","49.7","45.4","47.8","NA","NA","0.00","23.08","0.14","0.18"
"2018/04/21","21","35.3","52.5","61.0","27.9","42.3","52.0","48.5","49.8","NA","NA","0.00","20.62","0.15","0.21"
"2018/04/22","22","29.0","44.8","59.7","24.4","50.4","49.8","46.3","48.5","NA","NA","0.00","23.41","0.14","0.18"
"2018/04/23","23","31.9","48.5","67.3","28.1","50.0","50.7","45.9","48.5","NA","NA","0.00","25.20","0.17","0.23"
"2018/04/24","24","30.7","50.7","71.8","31.0","55.3","51.9","47.0","49.6","NA","NA","0.00","25.15","0.17","0.22"
"2018/04/25","25","37.4","55.1","74.5","30.9","49.0","53.6","48.6","51.0","NA","NA","0.00","25.47","0.19","0.26"
"2018/04/26","26","33.5","55.7","79.2","33.6","50.2","54.6","49.0","51.8","NA","NA","0.00","25.93","0.19","0.26"
"2018/04/27","27","39.1","59.0","84.2","37.4","52.1","55.9","50.6","53.2","NA","NA","0.00","25.37","0.22","0.30"
"2018/04/28","28","42.9","49.1","58.5","43.4","80.9","52.8","51.8","53.0","NA","NA","0.09","4.76","0.06","0.08"
"2018/04/29","29","40.9","47.9","58.1","43.8","86.5","52.8","50.0","51.4","NA","NA","0.19","13.94","0.08","0.10"
"2018/04/30","30","39.3","48.9","59.7","43.3","82.6","53.8","50.3","52.0","NA","NA","0.02","16.35","0.09","0.11"
"2018/05/01","1","40.6","52.3","65.7","38.9","66.0","55.0","50.8","52.6","NA","NA","0.00","21.31","0.14","0.18"
"2018/05/02","2","35.9","53.5","73.5","39.5","64.5","55.8","50.8","53.2","NA","NA","0.00","23.94","0.16","0.20"
"2018/05/03","3","39.4","57.7","76.4","42.7","62.5","57.3","52.0","54.5","NA","NA","0.00","24.68","0.18","0.23"
"2018/05/04","4","45.2","61.6","77.5","44.2","57.8","59.0","53.6","55.9","NA","NA","0.00","24.55","0.19","0.25"
"2018/05/05","5","46.8","59.0","73.2","46.7","66.8","59.1","55.4","57.0","NA","NA","0.00","17.28","0.14","0.17"
